Subject,Gender,Chocolate,Distance,is_outlier
1,male,no,7.961963926,False
1,male,yes,7.965392443,False
2,male,no,8.411318284,False
2,male,yes,8.41990093,False
3,male,no,6.947816058,False
3,male,yes,6.966307348,False
4,male,no,8.064937106,False
4,male,yes,8.083453015,False
5,male,no,7.877790694,False
5,male,yes,7.886107236,False
6,male,no,7.283228948,False
6,male,yes,7.304384677,False
7,male,no,7.608806525,False
7,male,yes,7.616520935,False
8,male,no,7.890738439,False
8,male,yes,7.88392995,False
9,male,no,9.065341776,True
9,male,yes,9.056599522,False
10,male,no,8.755056095,False
10,male,yes,8.765536784,False
11,male,no,7.252657149,False
11,male,yes,7.278720588,False
12,male,no,8.84417656,False
12,male,yes,8.879393484,False
13,male,no,8.034691464,False
13,male,yes,8.022388228,False
14,male,no,7.726578693,False
14,male,yes,7.742462095,False
15,male,no,8.026916984,False
15,male,yes,8.0201874,False
16,male,no,7.687452717,False
16,male,yes,7.684470096,False
17,male,no,7.729675001,False
17,male,yes,7.723385639,False
18,male,no,8.276682139,False
18,male,yes,8.303550437,False
19,male,no,8.265275434,False
19,male,yes,8.292553141,False
20,male,no,8.258110814,False
20,male,yes,8.277699021,False
21,male,no,8.030819048,False
21,male,yes,8.001096834,False
22,male,no,7.333556897,False
22,male,yes,7.351339281,False
23,male,no,8.031995634,False
23,male,yes,8.040552706,False
24,male,no,8.336302902,False
24,male,yes,8.35458844,False
25,male,no,7.931315602,False
25,male,yes,7.93094016,False
26,male,no,8.129764789,False
26,male,yes,8.138043205,False
27,male,no,8.032662894,False
27,male,yes,8.030119238,False
28,male,no,7.647982548,False
28,male,yes,7.66352195,False
29,male,no,7.872809143,False
29,male,yes,7.873182092,False
30,male,no,7.456060028,False
30,male,yes,7.49101241,False
31,male,no,8.076283927,False
31,male,yes,8.09374137,False
32,male,no,7.338818896,False
32,male,yes,7.344547972,False
33,male,no,7.359436065,False
33,male,yes,7.375727026,False
34,male,no,7.473660217,False
34,male,yes,7.471169409,False
35,male,no,6.702877542,False
35,male,yes,6.704979526,False
36,male,no,8.278151704,False
36,male,yes,8.28461115,False
37,male,no,7.863731815,False
