id,A,B,trial,rt,rt_log
P01,1,1,1,150.191210063671,5.01190921607078
P01,1,1,2,291.06628153344,5.67355101282806
P01,1,1,3,192.443511793846,5.25980266543759
P01,1,2,1,520.906933569019,6.2555713954113
P01,1,2,2,262.79905107865,5.5713896757921
P01,1,2,3,501.32010073782,6.21724482068845
P01,1,3,1,76.0850443164765,4.33185171883201
P01,1,3,2,753.496865917528,6.62472485869165
P01,1,3,3,284.400396085955,5.65038309063541
P01,2,1,1,312.484926972265,5.74455623432442
P01,2,1,2,603.964726953217,6.40351579714544
P01,2,1,3,361.492204733454,5.89024047769676
P01,2,2,1,217.052513420049,5.38013932159124
P01,2,2,2,229.772455021822,5.43708949322515
P01,2,2,3,555.937033237205,6.32065503826399
P01,2,3,1,475.382818434457,6.16412041299081
P01,2,3,2,495.605814468284,6.20578088186592
P01,2,3,3,220.864054655462,5.39754737493757
P02,1,1,1,666.419861981629,6.50191989530288
P02,1,1,2,251.050470453086,5.52565399642075
P02,1,1,3,110.774587355351,4.70749739200844
P02,1,2,1,257.360619674021,5.55047829073802
P02,1,2,2,242.31123401041,5.49022299080222
P02,1,2,3,678.413578465671,6.51975709970438
P02,1,3,1,583.260416862351,6.3686337707718
P02,1,3,2,1055.75945474166,6.96201564924794
P02,1,3,3,459.392030297442,6.12990394203626
P02,2,1,1,193.328361755147,5.26439009948213
P02,2,1,2,533.408801489951,6.27928811234284
P02,2,1,3,298.602549209134,5.69911342227272
P02,2,2,1,500.256214928842,6.21512039703253
P02,2,2,2,560.609754350072,6.3290250384189
P02,2,2,3,150.617158148815,5.01474124080709
P02,2,3,1,332.271020022652,5.80595096127359
P02,2,3,2,559.894614004098,6.32774857674097
P02,2,3,3,823.755233320939,6.71387343884168
P03,1,1,1,718.222974811418,6.57678007071422
P03,1,1,2,296.963575059391,5.69360948838377
P03,1,1,3,126.40529119114,4.83949334152602
P03,1,2,1,418.763634353907,6.03730664226034
P03,1,2,2,655.28846237457,6.48507553925925
P03,1,2,3,264.185620153948,5.57665196272638
P03,1,3,1,1009.72429795013,6.91743260024497
P03,1,3,2,174.916640863141,5.16430952251365
P03,1,3,3,318.755648724704,5.76442481780488
P03,2,1,1,371.141818001684,5.91658424832981
P03,2,1,2,554.320973123218,6.31774389284367
P03,2,1,3,207.165374509389,5.33351738497948
P03,2,2,1,196.594197382975,5.28114169244014
P03,2,2,2,556.150243323549,6.32103847955219
P03,2,2,3,57.232278048389,4.04711804077277
P03,2,3,1,633.969632244172,6.45200105462155
P03,2,3,2,596.904046196129,6.39175637383504
P03,2,3,3,351.046065762857,5.86091745634407
P04,1,1,1,138.258703200697,4.92912659104811
P04,1,1,2,339.531560682489,5.82756690492395
P04,1,1,3,283.352792929241,5.64669273938456
P04,1,2,1,346.98309593377,5.84927606387198
P04,1,2,2,1036.51032373221,6.94361489201168
P04,1,2,3,144.496752566534,4.97325703371195
P04,1,3,1,431.853199392678,6.06808571427284
P04,1,3,2,1174.85273137741,7.06889808372522
P04,1,3,3,485.324517922318,6.18481777630196
P04,2,1,1,214.829035467817,5.36984252793065
P04,2,1,2,171.412351798881,5.14407206773802
P04,2,1,3,558.567276197688,6.32537506997928
P04,2,2,1,238.128710228889,5.47281132677329
P04,2,2,2,91.4605628528552,4.51590787229861
P04,2,2,3,403.533051229458,6.00025839570479
P04,2,3,1,226.479407357428,5.42265402404566
P04,2,3,2,533.703314004511,6.27984009281005
P04,2,3,3,854.753795395943,6.75081346886748
P05,1,1,1,76.8679834679956,4.34208945000011
P05,1,1,2,469.442908195652,6.15154668996707
P05,1,1,3,571.893255185859,6.34895235715678
P05,1,2,1,85.2723394414278,4.44585012806927
P05,1,2,2,172.972731633774,5.15313396146032
P05,1,2,3,747.426760922815,6.61663632176604
P05,1,3,1,380.697416047257,5.94200487599283
P05,1,3,2,786.897537931391,6.66809804671585
P05,1,3,3,46.0316276347391,3.82932871750681
P05,2,1,1,561.675208250195,6.33092376156983
P05,2,1,2,427.82219956815,6.05870768770061
P05,2,1,3,335.880227009876,5.81675462918115
P05,2,2,1,77.0358658946678,4.34427110424665
P05,2,2,2,804.95024038554,6.69078046232238
P05,2,2,3,243.237237872926,5.49403725462472
P05,2,3,1,133.013604143566,4.89045140978454
P05,2,3,2,372.995985499511,5.92156765685
P05,2,3,3,172.839948354006,5.15236601225558
P06,1,1,1,444.480715170786,6.09690666857023
P06,1,1,2,633.488897015869,6.45124247319224
P06,1,1,3,280.639683263406,5.63707158056077
P06,1,2,1,396.712582272349,5.9832120443663
P06,1,2,2,476.606137687953,6.16669044265128
P06,1,2,3,570.949546783077,6.34730084635292
P06,1,3,1,560.597807329988,6.32900372743154
P06,1,3,2,669.363819548909,6.5063277382411
P06,1,3,3,30.4756033715807,3.41692647407473
P06,2,1,1,186.807035238002,5.23007618695922
P06,2,1,2,1026.99593591344,6.93439325267967
P06,2,1,3,387.644608322793,5.96008896194653
P06,2,2,1,581.919699334944,6.3663324645609
P06,2,2,2,136.003447416004,4.91268023406187
P06,2,2,3,388.246314960856,5.96163997057578
P06,2,3,1,1044.41044966086,6.95120784219512
P06,2,3,2,468.672126456011,6.14990343325629
P06,2,3,3,287.798376660532,5.66226015392496
P07,1,1,1,101.59237811525,4.62096851377966
P07,1,1,2,668.120406817073,6.50446840701977
P07,1,1,3,694.913467879924,6.5437873311656
P07,1,2,1,82.030501707281,4.40709115013982
P07,1,2,2,335.078086756902,5.81436359945942
P07,1,2,3,172.34160836205,5.14947860226227
P07,1,3,1,141.441222561754,4.95188424252954
P07,1,3,2,700.666707196754,6.55203232061382
P07,1,3,3,135.982849978508,4.91252877468518
P07,2,1,1,1077.82346931707,6.98269898046836
P07,2,1,2,395.048211709626,5.9790078124141
P07,2,1,3,277.490289024975,5.62578593806957
P07,2,2,1,327.307558663425,5.79090027523199
P07,2,2,2,341.18969087504,5.83243860084406
P07,2,2,3,273.836402817773,5.61253085806266
P07,2,3,1,1009.44743736456,6.91715836840777
P07,2,3,2,428.103596098853,6.05936521325309
P07,2,3,3,346.316365272215,5.84735270779167
P08,1,1,1,793.444536738985,6.67638364053425
P08,1,1,2,889.630587030126,6.79080630580781
P08,1,1,3,199.565774473251,5.29614387859971
P08,1,2,1,83.6846496288467,4.42705556317123
P08,1,2,2,153.481401980742,5.03357939995224
P08,1,2,3,47.8997461566159,3.86911020495848
P08,1,3,1,179.026272404078,5.18753256827776
P08,1,3,2,617.297494429545,6.42535107047301
P08,1,3,3,258.808973672767,5.55609023618622
P08,2,1,1,238.458775670059,5.47419644704483
P08,2,1,2,107.260762893681,4.6752629060941
P08,2,1,3,194.477358173849,5.27031574586505
P08,2,2,1,32.8410611654487,3.49167959726097
P08,2,2,2,912.589012868067,6.81628562904768
P08,2,2,3,530.591955105432,6.27399327970674
P08,2,3,1,2589.29398906032,7.85914052643748
P08,2,3,2,1284.60172346992,7.15820400646215
P08,2,3,3,753.822503614848,6.62515693394918
P09,1,1,1,696.511688602032,6.54608457499151
P09,1,1,2,387.933891012001,5.96083494111658
P09,1,1,3,295.374970180151,5.68824563455117
P09,1,2,1,419.937800787959,6.04010660694851
P09,1,2,2,125.042349234566,4.82865247380114
P09,1,2,3,825.674004196111,6.7162000275756
P09,1,3,1,469.121329235251,6.15086143271954
P09,1,3,2,80.3429761655474,4.38630467287467
P09,1,3,3,541.235269684849,6.29385406358349
P09,2,1,1,209.76740409589,5.34599931733241
P09,2,1,2,701.411546616761,6.55309479981289
P09,2,1,3,1127.09985614997,7.02740311361957
P09,2,2,1,375.579699170954,5.92847069680779
P09,2,2,2,348.354002363747,5.85321921089985
P09,2,2,3,258.459236357972,5.55473798850772
P09,2,3,1,344.445665113535,5.84193635700874
P09,2,3,2,1930.15911949185,7.56535772383307
P09,2,3,3,700.858754519996,6.5523063753202
P10,1,1,1,586.868388002358,6.3748005834494
P10,1,1,2,637.249962427091,6.4571619842952
P10,1,1,3,128.205504357955,4.85363447927433
P10,1,2,1,543.932346165723,6.29882487545619
P10,1,2,2,240.803119676025,5.48397966881596
P10,1,2,3,877.400358567862,6.77696339740295
P10,1,3,1,671.039508627921,6.50882801545876
P10,1,3,2,232.853669543832,5.45041022856481
P10,1,3,3,279.61268132741,5.63340536457938
P10,2,1,1,690.160614063268,6.53692434450838
P10,2,1,2,743.101937413042,6.61083323236369
P10,2,1,3,118.963242553622,4.77881455929238
