"Block","Variety","yield","Nitrogen"
"I","Victory",111,"N0"
"I","Victory",130,"N1"
"I","Victory",157,"N2"
"I","Victory",174,"N3"
"I","Golden Rain",117,"N0"
"I","Golden Rain",114,"N1"
"I","Golden Rain",161,"N2"
"I","Golden Rain",141,"N3"
"I","Marvellous",105,"N0"
"I","Marvellous",140,"N1"
"I","Marvellous",118,"N2"
"I","Marvellous",156,"N3"
"II","Victory",61,"N0"
"II","Victory",91,"N1"
"II","Victory",97,"N2"
"II","Victory",100,"N3"
"II","Golden Rain",70,"N0"
"II","Golden Rain",108,"N1"
"II","Golden Rain",126,"N2"
"II","Golden Rain",149,"N3"
"II","Marvellous",96,"N0"
"II","Marvellous",124,"N1"
"II","Marvellous",121,"N2"
"II","Marvellous",144,"N3"
"III","Victory",68,"N0"
"III","Victory",64,"N1"
"III","Victory",112,"N2"
"III","Victory",86,"N3"
"III","Golden Rain",60,"N0"
"III","Golden Rain",102,"N1"
"III","Golden Rain",89,"N2"
"III","Golden Rain",96,"N3"
"III","Marvellous",89,"N0"
"III","Marvellous",129,"N1"
"III","Marvellous",132,"N2"
"III","Marvellous",124,"N3"
"IV","Victory",74,"N0"
"IV","Victory",89,"N1"
"IV","Victory",81,"N2"
"IV","Victory",122,"N3"
"IV","Golden Rain",64,"N0"
"IV","Golden Rain",103,"N1"
"IV","Golden Rain",132,"N2"
"IV","Golden Rain",133,"N3"
"IV","Marvellous",70,"N0"
"IV","Marvellous",89,"N1"
"IV","Marvellous",104,"N2"
"IV","Marvellous",117,"N3"
"V","Victory",62,"N0"
"V","Victory",90,"N1"
"V","Victory",100,"N2"
"V","Victory",116,"N3"
"V","Golden Rain",80,"N0"
"V","Golden Rain",82,"N1"
"V","Golden Rain",94,"N2"
"V","Golden Rain",126,"N3"
"V","Marvellous",63,"N0"
"V","Marvellous",70,"N1"
"V","Marvellous",109,"N2"
"V","Marvellous",99,"N3"
"VI","Victory",53,"N0"
"VI","Victory",74,"N1"
"VI","Victory",118,"N2"
"VI","Victory",113,"N3"
"VI","Golden Rain",89,"N0"
"VI","Golden Rain",82,"N1"
"VI","Golden Rain",86,"N2"
"VI","Golden Rain",104,"N3"
"VI","Marvellous",97,"N0"
"VI","Marvellous",99,"N1"
"VI","Marvellous",119,"N2"
"VI","Marvellous",121,"N3"
