"Reaction","Days","Subject","Period"
249.56,0,"308","rested"
258.7047,1,"308","rested"
250.8006,2,"308","rested"
321.4398,3,"308","rested"
356.8519,4,"308","rested"
414.6901,5,"308","deprived"
382.2038,6,"308","deprived"
290.1486,7,"308","deprived"
430.5853,8,"308","deprived"
466.3535,9,"308","deprived"
222.7339,0,"309","rested"
205.2658,1,"309","rested"
202.9778,2,"309","rested"
204.707,3,"309","rested"
207.7161,4,"309","rested"
215.9618,5,"309","deprived"
213.6303,6,"309","deprived"
217.7272,7,"309","deprived"
224.2957,8,"309","deprived"
237.3142,9,"309","deprived"
199.0539,0,"310","rested"
194.3322,1,"310","rested"
234.32,2,"310","rested"
232.8416,3,"310","rested"
229.3074,4,"310","rested"
220.4579,5,"310","deprived"
235.4208,6,"310","deprived"
255.7511,7,"310","deprived"
261.0125,8,"310","deprived"
247.5153,9,"310","deprived"
321.5426,0,"330","rested"
300.4002,1,"330","rested"
283.8565,2,"330","rested"
285.133,3,"330","rested"
285.7973,4,"330","rested"
297.5855,5,"330","deprived"
280.2396,6,"330","deprived"
318.2613,7,"330","deprived"
305.3495,8,"330","deprived"
354.0487,9,"330","deprived"
287.6079,0,"331","rested"
285,1,"331","rested"
301.8206,2,"331","rested"
320.1153,3,"331","rested"
316.2773,4,"331","rested"
293.3187,5,"331","deprived"
290.075,6,"331","deprived"
334.8177,7,"331","deprived"
293.7469,8,"331","deprived"
371.5811,9,"331","deprived"
234.8606,0,"332","rested"
242.8118,1,"332","rested"
272.9613,2,"332","rested"
309.7688,3,"332","rested"
317.4629,4,"332","rested"
309.9976,5,"332","deprived"
454.1619,6,"332","deprived"
346.8311,7,"332","deprived"
330.3003,8,"332","deprived"
253.8644,9,"332","deprived"
283.8424,0,"333","rested"
289.555,1,"333","rested"
276.7693,2,"333","rested"
299.8097,3,"333","rested"
297.171,4,"333","rested"
338.1665,5,"333","deprived"
332.0265,6,"333","deprived"
348.8399,7,"333","deprived"
333.36,8,"333","deprived"
362.0428,9,"333","deprived"
265.4731,0,"334","rested"
276.2012,1,"334","rested"
243.3647,2,"334","rested"
254.6723,3,"334","rested"
279.0244,4,"334","rested"
284.1912,5,"334","deprived"
305.5248,6,"334","deprived"
331.5229,7,"334","deprived"
335.7469,8,"334","deprived"
377.299,9,"334","deprived"
241.6083,0,"335","rested"
273.9472,1,"335","rested"
254.4907,2,"335","rested"
270.8021,3,"335","rested"
251.4519,4,"335","rested"
254.6362,5,"335","deprived"
245.4523,6,"335","deprived"
235.311,7,"335","deprived"
235.7541,8,"335","deprived"
237.2466,9,"335","deprived"
312.3666,0,"337","rested"
313.8058,1,"337","rested"
291.6112,2,"337","rested"
346.1222,3,"337","rested"
365.7324,4,"337","rested"
391.8385,5,"337","deprived"
404.2601,6,"337","deprived"
416.6923,7,"337","deprived"
455.8643,8,"337","deprived"
458.9167,9,"337","deprived"
236.1032,0,"349","rested"
230.3167,1,"349","rested"
238.9256,2,"349","rested"
254.922,3,"349","rested"
250.7103,4,"349","rested"
269.7744,5,"349","deprived"
281.5648,6,"349","deprived"
308.102,7,"349","deprived"
336.2806,8,"349","deprived"
351.6451,9,"349","deprived"
256.2968,0,"350","rested"
243.4543,1,"350","rested"
256.2046,2,"350","rested"
255.5271,3,"350","rested"
268.9165,4,"350","rested"
329.7247,5,"350","deprived"
379.4445,6,"350","deprived"
362.9184,7,"350","deprived"
394.4872,8,"350","deprived"
389.0527,9,"350","deprived"
250.5265,0,"351","rested"
300.0576,1,"351","rested"
269.8939,2,"351","rested"
280.5891,3,"351","rested"
271.8274,4,"351","rested"
304.6336,5,"351","deprived"
287.7466,6,"351","deprived"
266.5955,7,"351","deprived"
321.5418,8,"351","deprived"
347.5655,9,"351","deprived"
221.6771,0,"352","rested"
298.1939,1,"352","rested"
326.8785,2,"352","rested"
346.8555,3,"352","rested"
348.7402,4,"352","rested"
352.8287,5,"352","deprived"
354.4266,6,"352","deprived"
360.4326,7,"352","deprived"
375.6406,8,"352","deprived"
388.5417,9,"352","deprived"
271.9235,0,"369","rested"
268.4369,1,"369","rested"
257.2424,2,"369","rested"
277.6566,3,"369","rested"
314.8222,4,"369","rested"
317.2135,5,"369","deprived"
298.1353,6,"369","deprived"
348.1229,7,"369","deprived"
340.28,8,"369","deprived"
366.5131,9,"369","deprived"
225.264,0,"370","rested"
234.5235,1,"370","rested"
238.9008,2,"370","rested"
240.473,3,"370","rested"
267.5373,4,"370","rested"
344.1937,5,"370","deprived"
281.1481,6,"370","deprived"
347.5855,7,"370","deprived"
365.163,8,"370","deprived"
372.2288,9,"370","deprived"
269.8804,0,"371","rested"
272.4428,1,"371","rested"
277.8989,2,"371","rested"
281.7895,3,"371","rested"
279.1705,4,"371","rested"
284.512,5,"371","deprived"
259.2658,6,"371","deprived"
304.6306,7,"371","deprived"
350.7807,8,"371","deprived"
369.4692,9,"371","deprived"
269.4117,0,"372","rested"
273.474,1,"372","rested"
297.5968,2,"372","rested"
310.6316,3,"372","rested"
287.1726,4,"372","rested"
329.6076,5,"372","deprived"
334.4818,6,"372","deprived"
343.2199,7,"372","deprived"
369.1417,8,"372","deprived"
364.1236,9,"372","deprived"
