Reaction,Days,Subject,Period
5.519699367242586,0,308,rested
5.555687256788838,1,308,rested
5.524658201100402,2,308,rested
5.772810278866332,3,308,rested
5.877320849768882,4,308,rested
6.027531494288334,5,308,deprived
5.945953974195261,6,308,deprived
5.670393205534506,7,308,deprived
6.0651454459360155,8,308,deprived
6.144943930237451,9,308,deprived
5.405977785399768,0,309,rested
5.324305724663328,1,309,rested
5.313096613455678,2,309,rested
5.321579688467514,3,309,rested
5.336172243525453,4,309,rested
5.375101540192181,5,309,deprived
5.364246950958306,6,309,deprived
5.383242903017361,7,309,deprived
5.412965270588947,8,309,deprived
5.469385001516534,9,309,deprived
5.2935756423214535,0,310,rested
5.269569065761432,1,310,rested
5.456687702519478,2,310,rested
5.450358394051459,3,310,rested
5.4350634614757025,4,310,rested
5.395706746952289,5,310,deprived
5.461374551160533,6,310,deprived
5.544204705897755,7,310,deprived
5.56456829889618,8,310,deprived
5.511472398279898,9,310,deprived
5.773130038787834,0,330,rested
5.705115585668719,1,330,rested
5.648468828773255,2,330,rested
5.652955738080293,3,330,rested
5.655282818285292,4,330,rested
5.695701578653647,5,330,deprived
5.635644951540225,6,330,deprived
5.7628727434843094,7,330,deprived
5.721457022202599,8,330,deprived
5.869434474293273,9,330,deprived
5.6615980941761705,0,331,rested
5.652489180268651,1,331,rested
5.70983280112826,2,331,rested
5.768681243396812,3,331,rested
5.75661936042669,4,331,rested
5.68125973119614,5,331,deprived
5.670139510233609,6,331,deprived
5.8135862046014015,7,331,deprived
5.682718512211194,8,331,deprived
5.9177671445052,9,331,deprived
5.458992146647118,0,332,rested
5.492286657674928,1,332,rested
5.609330026894552,2,332,rested
5.73582621277559,3,332,rested
5.760360961111506,4,332,rested
5.7365645555137394,5,332,deprived
6.1184537424013685,6,332,deprived
5.84883791793293,7,332,deprived
5.800002240661545,8,332,deprived
5.536800266197758,9,332,deprived
5.648419154553337,0,333,rested
5.66834526169746,1,333,rested
5.623184307187876,2,333,rested
5.703147940048358,3,333,rested
5.694307730693657,4,333,rested
5.823538377744016,5,333,deprived
5.805214785008208,6,333,deprived
5.854613077694371,7,333,deprived
5.8092229871141985,8,333,deprived
5.891762436881113,9,333,deprived
5.5815135172815316,0,334,rested
5.621129585643524,1,334,rested
5.494561141276495,2,334,rested
5.539977620672606,3,334,rested
5.6312992331945155,4,334,rested
5.64964725107382,5,334,deprived
5.722030953712935,6,334,deprived
5.803696887179676,7,334,deprived
5.8163576023004095,8,334,deprived
5.933037976555939,9,334,deprived
5.4873178197752,0,335,rested
5.612935387088972,1,335,rested
5.539264293083208,2,335,rested
5.6013882958086425,3,335,rested
5.527251718763615,4,335,rested
5.539835859833898,5,335,deprived
5.503102631004057,6,335,deprived
5.460908043471903,7,335,deprived
5.462789312666688,8,335,deprived
5.4691001065127445,9,335,deprived
5.744177498037251,0,337,rested
5.748774323238383,1,337,rested
5.675421408176054,2,337,rested
5.8467918918953865,3,337,rested
5.901901918441663,4,337,rested
5.970849765103432,5,337,deprived
6.002058482684378,6,337,deprived
6.032348059735959,7,337,deprived
6.122195177507076,8,337,deprived
6.128868712109307,9,337,deprived
5.4642689975786105,0,349,rested
5.439455318309646,1,349,rested
5.47615220639739,2,349,rested
5.5409576160139355,3,349,rested
5.524298089282389,4,349,rested
5.597586054171706,5,349,deprived
5.640362616470736,6,349,deprived
5.730430896980449,7,349,deprived
5.817945930492934,8,349,deprived
5.862622428347261,9,349,deprived
5.546336147923374,0,350,rested
5.494929245237153,1,350,rested
5.545976344024322,2,350,rested
5.543328470555306,3,350,rested
5.594400922493085,4,350,rested
5.798258063862418,5,350,deprived
5.938708341081544,6,350,deprived
5.894178015606601,7,350,deprived
5.977586693625194,8,350,deprived
5.963714810020865,9,350,deprived
5.523564703352872,0,351,rested
5.70397445622656,1,351,rested
5.598028918805234,2,351,rested
5.636891321582429,3,351,rested
5.605167306054805,4,351,rested
5.71910974297896,5,351,deprived
5.662080231719847,6,351,deprived
5.585732528382348,7,351,deprived
5.773127550778485,8,351,deprived
5.850953136451621,9,351,deprived
5.40122181854927,0,352,rested
5.6977439460516575,1,352,rested
5.789588542218842,2,352,rested
5.848908266704292,3,352,rested
5.85432723238233,4,352,rested
5.865982670030318,5,352,deprived
5.870501272347742,6,352,deprived
5.887304976693316,7,352,deprived
5.928632835209123,8,352,deprived
5.962400499954952,9,352,deprived
5.605520776737799,0,369,rested
5.592615877018917,1,369,rested
5.5500188310318785,2,369,rested
5.626385098339722,3,369,rested
5.752008035022454,4,369,rested
5.759575048754163,5,369,deprived
5.6975474103120405,6,369,deprived
5.852555578347376,7,369,deprived
5.8297688081076835,8,369,deprived
5.904034264207704,9,369,deprived
5.417273047720172,0,370,rested
5.457555796084941,1,370,rested
5.4760484030076135,2,370,rested
5.482607817131238,3,370,rested
5.589258995867649,4,370,rested
5.841204580297903,5,370,deprived
5.63888157675699,6,370,deprived
5.851010677906659,7,370,deprived
5.900343829239866,8,370,deprived
5.919508718968542,9,370,deprived
5.5979788978983365,0,371,rested
5.607428683812596,1,371,rested
5.627257378482258,2,371,rested
5.641160338301974,3,371,rested
5.631822706280121,4,371,rested
5.650775431938729,5,371,deprived
5.557853790286315,6,371,deprived
5.719099895034504,7,371,deprived
5.8601612418807685,8,371,deprived
5.9120673810276285,9,371,deprived
5.596240692877314,0,372,rested
5.611206553357794,1,372,rested
5.695739550212954,2,372,rested
5.738607644110078,3,372,rested
5.660083428723106,4,372,rested
5.797902856021906,5,372,deprived
5.812582468521512,6,372,deprived
5.8383713496158025,7,372,deprived
5.9111805811673435,8,372,deprived
5.897493370438703,9,372,deprived
